IPCNum,id,title
B64,CN204452941U,一种用于航模载重空投的简易快速投放装置
B60,CN1883971A,低成本开发杜绝事故发生防枪弹防爆胎安全环保节能轮胎
G08,CN102847324A,动态地控制遥控飞机的姿态以自动执行翻滚式动作的方法
G08,CN101465064A,终端区飞行冲突解脱方法和系统
B60,CN105000190A,一种飞机可拆卸口盖的密封结构
B60,CN1136111C,气垫船
G08,CN101471692B,无线电控制的模型装置及其控制器以及跳频模式选择方法
G08,CN103707870A,一种飞机电刹车作动器的活塞位置的获取和保护方法
F16,CN104742645A,具有可拆卸凸缘的飞机轮辋
G08,CN202876357U,一种玩具遥控飞机的控制装置
B60,CN101626952A,用于支持飞机机身结构和/或用于固定部件的装置，特别是连杆
B60,CN203940063U,一种飞机燃油系统可调式双向安全阀门
B60,CN105658476A,用于运载工具乘员的腿约束装置
B60,CN2357954Y,多功能座椅
G08,CN200985095Y,机场助航灯光检测车
B60,CN1044265A,飞机挡风板
B64,CN105644463A,用于交通工具的真空便器系统
F16,CN1530256A,柔性屏
B60,CN104976207A,一种定心螺栓及用该定心螺栓在飞机口框上硫化的方法
B64,CN104494813A,一种采用平板旋转桨叶推动装置的飞机
B60,CN2544976Y,一种内胎
B60,CN2089432U,安全带
B60,CN204368433U,一种基于SMA驱动的机翼除冰装置
F16,CN204489195U,喷气式直升飞机
F16,CN2113199U,椅用钢球锁紧装置
F16,CN203126829U,一种能够改善刹车性能的电液压力伺服阀
G08,CN103019216A,飞行环境监视系统综合监控方法及声光报警装置
B60,CN104442731A,全自动双轮轿车擦洁器
B60,CN103434412A,一种光电互补交通运输工具
B64,CN103171762B,起落架减振器和操作所述起落架减振器的方法
B60,CN1718480A,气囊式安全带
G08,CN101572016A,提供航班运行数据的方法及系统
B64,CN203476927U,一种安装激光跟踪仪靶标球的转接套
B60,CN2722913Y,一种公共场所空调系统用紫外线空气消毒装置
B64,CN101331060A,飞机部件的组装
F16,CN103452986B,一种轻型化抗疲劳自锁螺母及其制造方法
G08,CN1891544A,用于管理飞机起落装置的系统的分布式体系结构
G08,CN1218581C,旅客登机桥网络控制系统
B64,CN104619590A,控制表面驱动组件
B60,CN103287372A,一种基于图像处理的汽车防撞安全保护方法
G08,CN105374213A,城市交通远程动态监控系统
B60,CN103671692A,用于航天器运输工况改变的包装箱减振系统
B64,CN102562827A,航空用涡轮/压气机高速轴承的冷却系统及方法与应用
B60,CN204368436U,平开口风斗
F16,CN103591350B,一种用于飞机除冰液的先导型溢流阀
B64,CN204846368U,多机型无人直升机通用主变速箱
B64,CN105658520A,可线性展开的飞机座椅腿支架
F16,CN102734505A,多臂控制阀及交通工具燃料供给控制阀
G08,CN101176133A,飞机的地形回避方法及系统
B64,CN100372715C,制动器状态监测系统和方法
B64,CN101712292A,环保新型座椅
B64,CN203211137U,可坐可靠随意变形的客舱车厢座椅
F16,CN2566591Y,随机信号处理装置
F16,CN105008732A,销接头组件
F16,CN2302374Y,变力机器
B60,CN201692547U,一种安全保护装置
B64,CN204624752U,手推式航空装卸组合货桥
G08,CN105023468A,一种基于碰撞风险模型的终端区航线安全容限监测方法和系统
G08,CN105096663A,一种自动起飞和进近参考系统和方法
B60,CN2918113Y,基于现役轮胎的胎体减层轻量化军用航空轮胎
B64,CN204279163U,一种置于交通座椅靠背的双桌面折叠桌
G08,CN202193050U,一种新型的防碰撞系统
G08,CN102332214A,一种增强型机场场面监视系统
B60,CN101687545B,用于飞机起落架的减震器
G08,CN101968913B,一种森林火灾区域的火焰跟踪方法
F16,CN1522350A,流体装载系统
G08,CN1820289A,探测结冰条件的方法和系统
B60,CN2452831Y,汽车挡风玻璃雨雪风刮器
B64,CN1461898A,新型动力省力装置传动电能循环利用发动机
G08,CN101527087B,航班过台间隔的实现方法
B60,CN1104352C,装有整架飞机的超高速海上气垫船
B64,CN102581615A,一种用于翼身整体结构后段柔性工装平台
B64,CN203681373U,一种一载二折叠引桥道路救援车
B60,CN101095091A,飞机自动驾驶仪失效时的声音报警方法和设备
F16,CN105431657A,具有流体传输管道的周转减速齿轮及具有该减速齿轮的飞机螺旋桨涡轮机
B64,CN103742581A,一种地面振动试验悬浮支持所用空气弹簧
G08,CN104054115A,用于避免地面上的飞机与障碍物之间发生碰撞的方法和系统
B64,CN104743122A,一种飞机客舱下拉式行李箱
F16,CN204258183U,一种飞机电缆卡箍
G08,CN101996501A,一种面向航班延误的新解决方法
B64,CN102720602A,一种新型油管及其应用
B60,CN200977833Y,免充气防爆轮胎
F16,CN103291778B,一种双操纵飞机操纵系统的解脱机构
G08,CN102436764A,通过历史数据挖掘航班管制因素的方法
B60,CN2294864Y,驾驶室(舱)前窗电动遮阳装置
F16,CN203463834U,一种飞机用液压转动接头
F16,CN205045008U,新型飞机轮挡
G08,CN1846238A,无线发动机监控系统
B60,CN1519139A,双体型汽车轮胎
B64,CN104791557A,一种热熔密封飞机地面空调送风软管及其制备方法
F16,CN104295631A,磁阻式微型离合器
G08,CN101510364A,降低屏幕显示复杂度的装置和方法
B64,CN200945896Y,电动自行车
F16,CN104443348A,一种用于提高涡桨飞机防冰板声学性能的设计方法
B60,CN2631826Y,高矮可调的肩抱式交通安全椅
B60,CN101465043B,螺丝、螺栓及其检测系统
B64,CN100474355C,用于辅助机场内飞机地面导航的系统
B64,CN102554821A,一种外前襟翼定位器
B64,CN104002972B,三体舰潜艇飞机
F16,CN103954340B,顶升式飞机称重转接器
B60,CN203845024U,一种飞机牵引设备
B64,CN2717751Y,一种新型座垫套
B60,CN104787310A,一种具有起飞线刹车能力的飞机正常刹车系统
B60,CN104369771A,减少雾霾的方法及移动式交通工具
G08,CN101694752A,空域运行仿真中冲突的自动检测和调解系统及方法
F16,CN103291778A,一种双操纵飞机操纵系统解脱机构
G08,CN103400465A,一种多功能高集成的消防安全预警应急系统装置
G08,CN102930748A,通过ACARS数据链监视飞机状态的方法
B64,CN1217048A,陶瓷金属复合材料制动部件及其制造
G08,CN101582203B,一种空域运行仿真中飞行流引擎的实现系统及方法
G08,CN103188757B,基于分簇网络感知技术的火情趋势分析方法及系统
B64,CN105051124A,用于制造用于飞机的逃生路径标志的方法以及这种逃生路径标志
F16,CN104925260A,用于控制飞机座舱中的压力的方法和系统
B60,CN1068878A,扭力平衡弹簧
B64,CN104477421A,登月天梯
B64,CN204527619U,一种多功能集成钩环锁
B60,CN1827422A,汽车驾驶员座椅的气囊底架
F16,CN204805794U,一种飞机用可破拆接头
G08,CN101692315B,基于实时雷达数据的高精度4D飞机航迹分析方法
B60,CN1533458A,天然和/或合成纤维的扁平针刺法无纺布
B64,CN104743125A,一种单级DDV舵机电流保护策略
B60,CN102050106B,配装有机电致动器的飞机制动器的电源结构
F16,CN103591350A,一种用于飞机除冰液的先导型溢流阀
B64,CN101428689B,缓冲相对运动的能量吸收器装置
F16,CN204473151U,民用飞机滑行防撞系统探测组件工装
B60,CN102141129A,双旋翼主减速器的第一级天平摇臂机构
B64,CN101443236B,改进的座椅
B64,CN102358433A,高压力飞机空调车
F16,CN2535640Y,铝合金型材、管材
F16,CN102656089B,飞机发动机单元体运输托架
B64,CN102581615B,一种用于翼身整体结构后段柔性工装平台
B64,CN101331060B,飞机部件的组装
F16,CN105626744A,飞机起落架二级混合减震方法
B64,CN204489181U,可变电机角度四轴垂直起降固定翼复合无人机
G08,CN101093617A,安全着陆器
B64,CN202110650U,姿态感应式无线电比例遥控设备
B64,CN203889062U,一种飞机液压防滑刹车系统
B60,CN202632441U,电力铁塔警示器
B60,CN202242807U,一种组合式内胎
F16,CN204729876U,飞机加油溢流阀的安装结构
B60,CN1803500A,汽车撑地式刹车方法
B64,CN103121194B,一种用于拼接大型机翼壁板的定位夹具及定位方法
F16,CN105644773A,钨合金飞机配重平衡块及其制造工艺
F16,CN201737162U,蜗轮蜗杆回转支承台
B60,CN103337199A,一种适用于机载防撞系统的多维机动防撞方法
B60,CN204383237U,一种新型可调车座套
B64,CN104787300A,确定复合结构的完整性的方法和设备
G08,CN204807135U,微型无人机机载车辆尾气检测系统
F16,CN204433046U,一种失效安全解锁装置
G08,CN101171495A,在进场着陆的阶段对飞机飞行驾驶辅助的方法和装置
G08,CN102436765B,一种用于机载防撞系统的接口适配方法
B60,CN101000032A,风力、水力多功能发电机
F16,CN205244267U,钢球式离合器的机械换档机构
G08,CN105329450A,机载燃油系统远程接口单元
B60,CN103791056A,改变目标装置运动速度的变速装置及冲撞试验装置
B60,CN1502489A,轮胎气体高效散热装置
F16,CN203703442U,一种波纹管式球形接头
B60,CN1640695A,双体弧拉芯夹式轮胎
F16,CN103574188A,例如波纹管的柔性管状模压体及其制造方法
B60,CN101472798B,飞机机身损坏区域的维修方法
B60,CN105263803A,扶手装置
B64,CN204415717U,一种汽缸座组件
F16,CN2856205Y,在线式真空集便器装置
B64,CN204473121U,一种多旋翼无人机电机座
B60,CN100519234C,飞机轮胎
B60,CN2663195Y,飞机除冰车行走控制机构
B60,CN1480364A,制动防抱死装置
F16,CN105637259A,用于周转减速齿轮的行星架
G08,CN100497054C,用于管理飞机起落装置的系统的分布式体系结构
B60,CN101066704A,飞机的供电装置
G08,CN104240541A,一种4D航迹生成方法
F16,CN1420044A,电磁安全带
B60,CN104973249A,带有可抛放的隐形外壳的执行器
F16,CN103052824A,盘式制动器的双向制动方法及其制动机构与应用
B60,CN202022118U,一种飞机的坐垫结构
G08,CN103343796A,一种用于便携式设备的动力系统及实现方法
B64,CN204489176U,一种无尾飞翼布局飞机的阻力方向舵
F16,CN103447988B,自适应柔性托扶定位机构
B60,CN104608932A,一种飞机发动机防护装置
B60,CN203318372U,机车清洗机
B60,CN101140011A,用于旋翼式飞机的串联叠置的角面接触轴承
B60,CN103578298A,显示飞行计划的方法
B64,CN102333676A,在飞机中的用于多个人员的照明装置
B60,CN102341306B,座椅布置、座椅单元、托盘桌以及座椅系统
B60,CN1239762A,真空隔热保温型材的构造及制造
G08,CN100570668C,广播式自动相关监视信息安全传输系统
F16,CN104203542A,复合结构元件和方法
B64,CN100491202C,数字化装配有空间复合角度定位器工装的方法
F16,CN104229117A,自平衡压力隔板
G08,CN103810907A,用于在恶劣天气下着陆期间增强飞行员决策的系统和方法
F16,CN204357907U,航空飞机防松螺钉
F16,CN2442073Y,新型快卸自封接头
B64,CN102802867B,用于在空间上定向至少两个子组件部件的装置和方法
B60,CN1084127A,有足有翼车
B60,CN1034899A,货物运输装置
F16,CN204776050U,一种飞机传感器保护罩固定装置
B60,CN105143731A,齿轮、凸轮无级变速器及其交通工具
G08,CN102682541A,高压输电线警示器
F16,CN203703479U,一种压力平衡型管路补偿器
B64,CN204279930U,一种机械式起落架顺序控制作动装置
G08,CN103136966A,用于控制航运系统运行的系统和方法
G08,CN103489335A,一种多目标优化的飞行冲突解脱方法
F16,CN105673651A,一种防松动锁定机构
G08,CN1441909A,应答器着陆系统
B60,CN2495497Y,运输工具上的风力电能组合装置
G08,CN2575000Y,一种机场用的逆变电源车
B60,CN100333968C,飞机机轮轮轴组装机构
F16,CN1164689C,用于飞机碳/碳刹车盘防氧化涂层及其涂覆工艺
B64,CN104653666A,用于修复和使用具有螺柱的后定子型制动盘的方法
G08,CN103413466A,机载可视化地面引导和告警装置及其引导和告警方法
F16,CN204340836U,直升飞机船用及机场用加油车
B60,CN103700287A,通过传感器脉冲执行交通工具防撞警告的系统和方法
F16,CN105667206A,一种便携式机轮拆装装置
B60,CN2378252Y,附加紧急制动装置
B64,CN103603926A,一种飞机舱门开闭传动机构的减速装置
B60,CN104976207A,一种定心螺栓及用该定心螺栓在飞机口框上硫化的方法
F16,CN1193963C,耐磨制品
B60,CN103552536A,自动充气救生衣装置
F16,CN202883649U,内膨胀系列防松螺栓
B60,CN1068298A,车轮制动防抱装置
G08,CN101276521A,机场跑道警示系统
B64,CN205221133U,弹射器
B64,CN205203369U,一种飞机用升降舵连接结构及具有其的飞机
G08,CN100509560C,机翼调节
F16,CN103122900A,制备可高度变形的钛和钛合金单件紧固件的方法和由此方法制备的紧固件
B60,CN204507254U,直升飞机
B64,CN203293951U,飞机乘客座椅后背颈椎部摆动式靠枕
B60,CN2247615Y,机动车制动应急辅助装置
B60,CN2546246Y,一种汽车、飞机座椅的枕颈装置
F16,CN204587328U,飞机锁紧栓组件
G08,CN103489336B,一种适用于广域空中交通流量调控的方法
B64,CN104500608A,一种超轻型直升飞机柔性联轴器
G08,CN101483490A,使用于大众运输系统的目的地提示系统
B64,CN204802100U,电动无杆飞机牵引器
B60,CN1674050A,智能公厕管理系统中的单片机应急求助信息显示装置
F16,CN105378340A,旋转促动器
F16,CN204357883U,航天安全锁定螺钉
B60,CN1601568A,反劫持飞机、车辆、船舶、金库预警控制装置
B60,CN203651583U,一种航空地勤保障车
B60,CN103072697A,用于飞机引擎底座的具有反馈和前馈控制的主动消振和振动隔离
F16,CN204548514U,一种油箱口盖密封装置
B64,CN102513950A,一种飞机框型架类框缘定位器
F16,CN105564228A,一种电磁发电机、发动机的汽车
B64,CN104477374A,一种高升力翼飞机
F16,CN101555943A,密封垫
B64,CN101384482A,用于飞机的能量吸收器
B64,CN204433042U,一种降低飞机尾流的襟翼
B60,CN104787311A,一种飞机全电刹车系统及飞机电刹车余度控制方法
F16,CN202883826U,一种制动装置
B60,CN100450822C,空气调节座椅及用于通风座椅的空气调节装置
B60,CN203952992U,储光杯座
B60,CN101465043A,固定元件及其检测系统
B64,CN1240583C,飞机救援车
F16,CN2463597Y,低转数消声尼龙轴承
B64,CN103085790B,飞机制动系统结构
G08,CN100423032C,飞机内部用的监视系统
F16,CN105620232A,一种飞机驾驶舱遮阳装置
G08,CN104512209A,铰接车辆过渡装置或飞机登机桥或乘客舷梯遮棚的折棚
G08,CN1956680A,生物信息检测装置
B60,CN1019469B,可变贮运罐体
F16,CN105626744A,飞机起落架二级混合减震方法
B60,CN104229159A,一种飞机清洗车
B64,CN103552685A,一种飞机防滑刹车控制方法
B64,CN105620424A,一种带有雨量信号的飞机风挡雨刷系统
G08,CN103038646A,检测飞机前方不利大气条件的系统和方法
B60,CN204399487U,一种高速飞机安全气囊
B64,CN101224740A,一种防抱死方法
B64,CN105083580A,航母喷气弹射器
G08,CN105185165A,用于显示所需导航性能参数的方法和系统
B60,CN1184742A,智能制动防抱死系统
B60,CN102754136A,烟雾报警器
B60,CN2516751Y,螺旋减速器
G08,CN101236434A,一种无人机多模态控制与切换方法
F16,CN201096155Y,飞机起落架制动刹车盘副
B60,CN1799886A,冲气式飞船制造方法
B60,CN1059313A,悬挂式卫生箱
B60,CN2190038Y,气流冲击旋转式飞机轮胎
F16,CN204507278U,一种飞机通用吊挂设备
G08,CN103019113A,机载3G通信模块的开关控制装置及机载无线通讯系统
G08,CN203805801U,基于通用OLED曲面的行驶环境显示及控制系统
G08,CN1880790A,制动加力器
F16,CN105556248A,用于飞机的地面制动警报
B60,CN1886639A,用于展现信息的方法和系统
B60,CN201745408U,双动力飞机空调车
B64,CN103538500A,交通安全座椅高矮调节装置
B64,CN1012152B,离心扩压式推进器
B60,CN104760524A,一种可折叠式头靠遮光睡椅
F16,CN202624643U,一种飞机辅助动力装置漏油收集接头
F16,CN104763861A,飞机高温导管隔热包覆方法
B60,CN103465807A,系列座卧两用交通工具及其单独座卧两用椅
F16,CN203248892U,一种多用途回油接头
B64,CN204623854U,军用航空货物装卸组合货桥
G08,CN103927838A,一种烟雾热成像火灾自动定位探测系统及方法
B60,CN2818239Y,气囊式安全带
G08,CN104183098A,一种反劫持系统与方法
B60,CN1254660A,一种蹼爪和链条可伸缩的防滑车轮和轮胎
B64,CN203753111U,飞机安全辅助制动装置
B60,CN103552535B,自动充气救生衣
G08,CN102176272B,一种飞机机舱烟雾探测系统试验方法
B60,CN203358396U,一种气凝胶减震座椅
F16,CN1668503A,拦阻网
B64,CN203330919U,气源导管定位装置
B60,CN1057048C,乘客座椅
G08,CN103824447A,针对公共交通工具的预约式换乘方法及装置
F16,CN101346278A,燃油箱阀
B60,CN104500670A,飞机电刹车用内循环滚珠丝杠组件
F16,CN204512096U,一种快速拆装的紧固螺栓结构
B60,CN203528218U,飞机轮胎充气嘴
F16,CN202926807U,一种新型的地脚螺栓
G08,CN105070005A,一种多旋翼无人飞行器及遥测遥控方法
F16,CN1291173C,双元炭基体优化组合的飞机炭刹车盘制造方法
F16,CN104315112A,飞机场输送机构减速半轴
B64,CN105523179A,一种飞机刹车压力反馈调节系统及方法
B64,CN201100356Y,一种喷嘴式耗能器
B64,CN204399488U,一种遥控型无杆飞机牵引车
F16,CN101988570B,用于飞机缝翼作动器的齿轮齿条的设计方法
B60,CN204726658U,一种飞机数字化全电刹车系统
B64,CN105387111A,一种电磁阻尼器
B64,CN204279949U,一种新型无人驾驶飞机
G08,CN101710452B,编队飞行模式控制方法及装置
F16,CN105650190A,起落架缓冲支柱内腔充油装置
B60,CN104859843A,用于主动空气流控制的等离子体辅助合成射流
F16,CN101932504A,用以简化固定导管的固定件的安装与固定的飞机机身单元结构
F16,CN105539861A,一种根据气压差进气的活门装置
F16,CN101244766A,一种节能减排机场
G08,CN101308609A,利用虚拟领航机进行空中交通管制系统及其运行方法
B60,CN1245120A,飞碟型水陆空三栖航行器构造运行及操作方法
F16,CN204383752U,一种用于飞机驾驶员座椅靠背的调节装置
B60,CN1610719A,具有降低的可燃性的聚甲基丙烯酰亚胺泡沫塑料及其生产方法
G08,CN103680214A,优化的飞行方案管理系统
G08,CN100483477C,基于实时雷达和飞行情报的短期空中交通流量预测方法
F16,CN1106510A,永磁悬浮减震器
G08,CN2436988Y,多功能动态显示人行信号装置
B64,CN204328150U,一种提升调压能力的起动控制阀
B64,CN204587333U,一种方向舵位置调整测量夹具
B64,CN204895841U,一种设置有缓冲器的支臂式主起落架
F16,CN204300576U,一种管路的双层隔热连接结构
F16,CN1463891A,航空服务车
B64,CN103889779A,货物输送车辆
G08,CN201978498U,多功能体验式遥控系统
B64,CN204297060U,一种民用无人机尾翼拉杆结构
F16,CN105626738A,飞机起落架混合减震方法
F16,CN103996263A,一种采用烟雾气体传感的吸气式飞机货舱火灾探测器
B60,CN2651147Y,房屋形轮档
B60,CN104487757A,用于诸如航空器之类的乘客运输工具上的氢的可移除存储
G08,CN105565837A,一种碳陶复合材料的制备方法及其应用
F16,CN2302159Y,绝热板
F16,CN204587332U,一种飞机静力试验支持件
F16,CN104019252B,一种具有温度调节功能的空气混合分配装置
B60,CN104743124A,重力连续发电为驱动力的直升飞机
G08,CN102056778B,具有用于控制设置在飞机制动器上的电动机械致动器的推动器的锁定件的装置的电气制动回路
F16,CN203036104U,飞机用玻璃钢复材通风零件
B60,CN1107788A,带有椅垫的，交通运输用，特别适用于飞机的座椅
B64,CN103195852A,一种机械最优化的液体惯性减振器和飞行器塔式系统
G08,CN203300000U,用于飞机供电室的防触电报警器
G08,CN2708444Y,一种可用于大巴车、铁路客车及飞机的网络化的影音系统
G08,CN103489337A,一种基于改进的局部搜索策略的空中交通流量调控方法
G08,CN103188757A,基于分簇网络感知技术的火情趋势分析方法及系统
F16,CN204587301U,一种用于轻型通用飞机操作系统的柔性传动机构
B60,CN104663099A,一种施肥装置及包含该施肥装置的植保飞机
B60,CN101003303A,水陆两栖喷气式直升机整体结构及空气动力方法
F16,CN204587326U,小型飞机牵引杆
B60,CN1300686A,车载语言复读机
G08,CN104691773A,使用配置软件部件的飞机配置和软件部件管理
B60,CN104769484A,用于显示真实图像的装置的使用方法
F16,CN104507662A,混合构件和制造方法
F16,CN1055049C,大型异形铸型尼龙燃油箱制造方法
B60,CN104477057A,坐睡交通椅
F16,CN104265745B,一种用于飞机口盖的高强度快卸紧固件
B60,CN1131627A,机动车制动应急辅助装置
B64,CN202115408U,飞机食品车专用接机车箱及飞机食品车
F16,CN203879891U,一种飞机用空心螺栓及紧固结构
G08,CN1417591A,联合雷达/自动回报监视环境中的航迹资料融合处理方法
B64,CN103192330B,一种民航客机反推C涵道的修理夹具
B60,CN101066704B,飞机的供电装置
B60,CN104709020A,车风飞械、飞船机、机动车风、机电力风车、电动部架吹风机、电池动转车飞、飞天客车
B60,CN104943476A,经纬带轮胎内胆
B60,CN1593983A,一种具有流动、连锁和福利性的社区服务方法、设备与设施
B64,CN204399474U,无人飞机上的伸缩动力臂
B60,CN1076558A,汽车电器自动保护器
G08,CN104760701A,利用喷气推进系统实现降落的火箭背包
F16,CN104828260A,一种三段式空间运载系统
F16,CN102439646A,轨迹跟踪飞行控制器
F16,CN104507662A,混合构件和制造方法
F16,CN1123377A,无级变速机械系统
F16,CN101091016A,簇绒的非织造织物和粘合非织造织物
B60,CN104229159B,一种飞机清洗车
B60,CN1934596A,驾驶员知觉适应性测试的方法和系统
B60,CN100365272C,主动被动两用网布桨叶
G08,CN102831788A,用于改进预测路径显示输出的系统和方法
B64,CN1703526A,飞机内的滚动轴承
G08,CN1900984A,周界全天候防范系统
B60,CN100441482C,飞机座椅和座椅结构
B64,CN103407578A,一种变频飞机地面空调车
G08,CN104376744A,用于提供指示所需到达时间的显示的显示系统和方法
G08,CN104299455A,机场特种车辆自动驾驶系统
B60,CN204805365U,一种航空动力附件传动的转接装置
G08,CN103514761A,用于滑行道交通警报的方法和系统
G08,CN103489335B,一种多目标优化的飞行冲突解脱方法
G08,CN104753566A,一种用于飞机客舱内的通信系统
B64,CN201371948Y,飞机发动机减震架
B64,CN103573950A,动力杠杆增能装置
B64,CN2677207Y,飞机专用轮胎
B64,CN2463314Y,空港货物摆渡升降车
B60,CN104691775A,外置式再生制动技术
B60,CN2792839Y,多子胎自补防爆轮胎
B60,CN1738723A,"飞机安装组件,机轮及轮胎"
B64,CN204433041U,飞行器舵面传动结构
B64,CN105156790A,一种发动机与进气道连接装置
F16,CN1681706A,飞机或列车用的模块式厨房、该厨房用的壁和模块及安装有它们的飞机或列车
B60,CN2196083Y,一种使飞机轮胎自动旋转的叶片
G08,CN103325193A,基于无线传感器网络的机场跑道入侵防御系统及方法
B60,CN204606237U,移动式液压系统综合保障装置
F16,CN104019252A,一种具有温度调节功能的空气混合分配装置
B64,CN202529142U,海用型无人机舱段间密封和监测机构
B60,CN2574946Y,一种飞行汽车
B60,CN1307992A,安全带防暴力装置
B60,CN201432606Y,模块化、组合化多功能车
F16,CN101555943B,密封垫
F16,CN203847768U,一种飞机货舱灭火系统状态的转换控制阀
B64,CN104590583A,一种用于超轻型直升飞机主框架的工装
B60,CN204415744U,一种超轻型直升机专用运输轮
B60,CN101318481A,系列交通工具安全座椅及其头枕
B60,CN1980817A,绝缘方法
B60,CN1247141A,装配在长途汽车或飞机靠背椅靠背部背后的折叠桌子
B60,CN1042815C,两用车
B60,CN1699085A,一种汽飞车
F16,CN103447988A,自适应柔性托扶定位机构
B64,CN104443429A,一种挂梁式机翼活动部件中立位置卡板结构
B60,CN1767962A,两栖车辆悬架
