,IPCNum,content
2001,B60C9/08,一种 可 充气 至 高压 的 飞机 轮胎 包括 胎面 7 胎冠 加强 材料 6 和 径向 胎体 加强 材料 1 径向 胎体 加强 材料 包括 至少 二层 轴向 内侧 线网 层 1A 1B 它们 由 编织 加强 件 构成 且 在 各胎 圈 2 中 缠绕 至少 一个 钢丝 3 从 内侧 到 外侧 形成 翻边 10A 10B 还 包括 至少 一层 轴向 外侧 线网 层 1C 1D 它们 由 编织 件 做成 并 位于 轴向 外侧 在 胎冠 加强 材料 6 下面 沿 径向 叠置 在内 侧线 网层 1A 1B 上 以便 在 胎圈 2 中沿 内侧 线网 层 的 翻边 10A 10B 延伸 其 特征 在于 胎体 加强 材料 1 的 各 线网 层 1A 1B 1C 1D 是 将 至少 一种 牵引 状态 的 弹性 模数 至少 2000cN tex 的 细纱 与 一种 可强 捻 也 可不 捻且 其 牵引 状态 弹性 模数 至少 为 1500cN tex 的 细纱 搓 拧成 的 线绳 该 细纱 的 模数 是 在 拉力 为 细纱 断裂 力 的 0 1 倍 时测 得 的
371,G08G5/00,本发明 公开 了 一种 多 机场 协同 放行 系统 航班 排序 决策 方法 包含 以下 三个 过程 1 民航 航班 计划 的 预处理 2 多 机场 协同 放行 决策 算法 模型 的 建立 3 多 机场 协同 放行 决策 算法 的 实现 能够 给 参与 放行 的 各 管制 单位 机场 航空公司 提供 统一 的 放行 序列 以 实现 空域 资源 的 最大 利用 提高 空管 运行 效率 确保 空中交通 安全
665,G08C17/02,本发明 公开 了 一种 固定 元件 检测 系统 其 可 将 一感测 材料 置于 该 固定 元件 本 体内 通过 射频 电路 进行 供电 利用 信号处理 单元 将来 自感 测 材料 的 电气 信号 转换 为 电路 可 读取 的 信号 通过 无线 射频 传递 至 外界 的 检测 装置 以 检测 该 固定 元件 的 状态 通过 本发明 的 方式 可以 对于 固定 元件 进行 准确 且 快速 大量 的 筛检 动作 尤其 适合 用于 高度 安全 顾虑 的 场合 例如 飞机 机体 上 的 部分 螺丝
1959,F16B19/02,本 实用新型 公开 了 一种 用于 飞机 可 分离 对接 结构 锁紧 的 分体式 锁紧 销 包括 固定 端 和 活动 端 所述 固定 端 和 活动 端为 分体 结构 所述 固定 端端部 设有 翻边 结构 所述 活动 端 靠近 固定 端的 一侧 设有 上下 对应 的 凹槽 所述 两 凹槽 连接 部位 设有 连接 孔 本 实用新型 耐磨 耐腐蚀 受力 合理 使用寿命 高 维护 方便 在 对接 结构 相对运动 时 锁紧 销 结构 薄弱 部位 受力 更 合理
2077,G08C19/00,一种 基于 嵌入式 PAC 的 飞机 模拟器 数据 采集 系统 安装 在 飞机 模拟器 内 且 该 数据 采集 系统 包括 嵌入式 PAC 组合式 I O 采集 模块 通信 网络 电缆 及待测 设备 其中 飞机 训练 模拟器 中 使用 的 各类 待测 设备 信号 通过 电缆 与 组合式 I O 采集 模块 连接 组合式 I O 采集 模块 通过 通信 网络 与 嵌入式 PAC 连接 数据 采集 系统 通过 组合式 I O 采集 模块 采集 不同 数据信号 嵌入式 PAC 根据 组合式 I O 采集 模块 采集 的 数据信号 上传 数据 或 驱动 数据 采集 系统 运行 具有 模块 集成度 高 采集 速度 快 传输 距离 长 组成 设备 少 抗干扰能力 强 和 布线 简单 可靠 特点
393,F16F6/00,本发明 涉及 一种 双 阻尼 与 双 发电 复合型 减震 装置 包括 磁 流变 阻尼 温差 发电 式 减振器 和 电磁 阻尼 温差 发电 式 减振器 所述 磁 流变 阻尼 温差 发电 式 减振器 与 电磁 阻尼 温差 发电 式 减振器 之间 由 隔 磁 材料 和 密封材料 隔开 构成 相对 各自 独立 的 工作 空间 所述 温差 发电 式 减振器 与 电磁 阻尼 温差 发电 式 减振器 构成 协同 双 阻尼 减振 和 协同 双 发电 工作 模式 本发明 装置 通过 采用 一体化 集成 的 新型 装置 结构 达到 优化 提升 减震 装置 的 综合性 能 的 目的 可以 适用 于 汽车 火车 舰船 坦克 飞机 机械 工程 桥梁 的 减振 以及 振动 能量 回收 发电 应用
2105,G08G5/00,一种 用于 离开 航线 飞机 管理 和 警报 通信 的 航空 电子系统 和 地面站 包括 航空 电子装置 其 安装 在 飞机 上 具有 用于 存储 飞行 路线 数据 跑道 地形 以及 障碍物 的 存储器 单元 处理器 用于 计算 存储 的 或 收到 的 数据 所述 数据 从 监视 机上 情况 的 传感器 获得 处理器 将 计算 要 发送给 飞机 的 自动 驾驶仪 的 命令 以 暂时 接管 对 飞机 的 控制 并 使 其 回到 预设 飞行高度 层 或 空间 位置 通信 设备 适合 于 在 发生 潜在 危险 事件 时 将 实时 的 机上 情况 传输 给 地面 控制站
1428,B60P3/00,本发明 公开 的 一种 飞机 清洗 车 包括 车头 和 车厢 车厢 内部 从前 到 后 依次 设置 有 滑轨 机构 清洗剂 箱 水箱 滑轨 机构 上 并排 设置 有 高温 饱和 蒸汽机 和 发电机 清洗剂 箱 的 一侧 连接 有 第一 离心泵 的 进口 端 第一 离心泵 的 出口 端 通过 清洗剂 管道 连接 有 混合器 清洗剂 管道 上 设置 有 四个 控制阀 水箱 的 一侧 连接 有 第二 离心泵 的 进口 端 第二 离心泵 的 出口 端 连接 至 混合器 混合器 的 出口 端 连接 有 混合液 管道 车厢 的 尾部 外侧 设置 有 液压 升降 平台 液压 升降 平台 的 两侧 设置 有卷 盘箱 卷盘 箱内 缠绕 有 软管 软管 的 一端 连接 至 混合液 管道 另一端 连接 有 喷枪 本发明 的 飞机 清洗 车 能够 实现 清水 和 清洗液 的 动态 混合 并 解决 了 低温 环境 无法 对 飞机 表面 进行 有效 清洗 的 技术 问题
910,G08G5/06,本 实用新型 公开 了 一种 基于 TCAS 系统 的 区域 空域 管理 监视系统 该 系统 通过 信号 询问 装置 对 区域 空域 内 装有 A C 或 S 模式 应答机 的 飞机 进行 询问 在 接收 飞机 返回 的 应答 信号 后 对 应答 信号 进行 处理 从而 获取 区域 空域 飞机 的 航向 机体 状态 地理位置 等 信息 同时 该 系统 还 可 融入 机载 ADS - B 网络 以 接收 广播 的 形式 获取 飞机 的 相关 状态 信息 本 实用新型 将 航空 业内 广泛 认可 的 空中交通 预警 防撞 理念 引入 地面 不仅 使用 方便快捷 移动 灵活 本 实用新型 作为 一种 区域 空域 管理 监视系统 广泛应用 于 军用 或 小型 机场 地面监视
23,F16D55/36,一种 可 变换 的 飞机 刹车 组件 10 60 77 78 83 85 96 120 130 作为 具有 吸热 器 的 初始 装置 所述 吸热 器 包括 一个 钢 吸热 器 20 70 80 90 91 100 110 122 飞机 刹车 组件 以及 一个 碳 - 碳 复合材料 吸热 器 40 飞机 刹车 组件 当该 飞机 刹车 组件 从 一种 类型 的 吸热 器 变换 成 另 一种 类型 时 完成 所述 变换 引起 的 构成 零件 变化 最小 这种 变换 可 在 活塞 外壳 14 扭力 管 12 和 轮 30 没有 任何 变化 的 情况 下 完成 因为 这些 吸热 器所 包括 的 各 元件 使 每个 吸热 器能 与 共用 活塞 外壳 14 扭力 管 12 和 轮 30 一起 使用
870,B60R21/02,本发明 所述 的 一种 能 增加 乘坐 交通工具 人员 人体 安全性 的 弹性 安全 罩 由 A 区罩 体 B 区 双肩 带 C 区 躯干 双侧 带 和 D 区 会阴 带 等 组成 见 附图 其中 B 区 双肩 带 C 区 躯干 双侧 带 和 D 区 会阴 带 适当 地 固定 在 交通工具 内 的 座椅 或 其它 相应 部位 A 区罩 体 B 区 双肩 带 C 区 躯干 双侧 带 和 D 区 会阴 带 等 一起 构成 了 所述 的 弹性 安全 罩 为了 便于 交通工具 上 的 乘员 驾驶员 等 佩戴 或 解除 所述 弹性 安全 罩 可 在 所述 弹性 安全 罩 上 适当 设置 活动 连接处 通过 连接处 的 连接 和 断 开来 实现 乘员 驾驶员 等 便利 地 佩戴 和 解除 所述 弹性 安全 罩
1331,F16M3/00,本 实用新型 公开 了 一种 机械式 飞机 千斤顶 包括 支撑架 快速 顶升 机构 用于 带动 所述 快速 顶升 机构 在 空载 行程 移动 或 定位 的 快速 驱动 机构 承载 套筒 以及 用于 带动 所述 承载 套筒 在 荷载 行程 移动 或 定位 的 重载 驱动 机构 所述 快速 驱动 机构 安装 在 承载 套筒 上 所述 快速 顶升 机构 的 下端 伸入 承载 套筒 内 并 与 所述 快速 驱动 机构 传动 配合 所述 重载 驱动 机构 安装 在 支撑架 上 并 与 所述 承载 套筒 传动 配合 该 机械式 飞机 千斤顶 将 快速 顶升 机构 的 快速 驱动 机构 和 承载 套筒 的 重载 驱动 机构 相 分离 使得 快速 顶升 机构 能够 快速 的 达到目标 位置 使得 该 机械式 飞机 千斤顶 的 上升时间 能够 大幅度 缩短
1279,F16J15/00,本 实用新型 涉及 一种 用于 飞机 发动机 的 油封 设备 包括 压力 油箱 温度 检测器 电磁 加热 线盘 加热 模块 和 温控器 所述 的 温度 检测器 电磁 加热 线盘 安装 在 压力 油箱 上 所述 的 电磁 加热 线盘 与 加热 模块 连接 所述 的 温控器 分别 与 电磁 加热 线盘 加热 模块 连接 与 现有 技术 相比 本 实用新型 具有 控制精度 高 安全可靠 加热 效率高 使用寿命 长 等 优点
1,G08C23/04,本发明 公开 了 一种 采用 目标 追踪 技术 的 玩具 飞机 遥控 系统 及 方法 包括 玩具 飞机 和 目标 追踪 源 所述 玩具 飞机 上 设置 有 摄像头 图像处理 电路 和 微处理器 目标 追踪 源 用于 产生 供 玩具 飞机 识别 的 目标 追踪 点 摄像头 用于 实时 监控 玩具 飞机 下方 的 画面 并 将 监控 画面 发送到 图像处理 电路 进行 处理 从中 判断 目标 追踪 点 是否 发生 移动 并 当 目标 追踪 点 是否 发生 移动 时 向 微处理器 发出 向 移动 后 的 目标 追踪 点 追踪 的 遥控 指令 微处理器 用于 根据 所述 遥控 指令 控制 玩具 飞机 飞行 至 所述 目标 追踪 点 的 上方 通过 光源 热源 或者 标签 等 目标 追踪 源 的 移动 实现 玩具 飞机 的 遥控 遥控 方式 新颖 操作 非常简单 而且 无需 配备 专门 的 遥控器 节约 了 成本 能够 适用 于 不同 年龄段 用户 需求
539,B64C1/40,本发明 寻求 提供 电流 回路 网路 的 多个 部分 之间 的 接合 等 电位 连接 为此 本发明 提供 了 一种 具有 覆盖 在 防 漏电 护套 中 的 导体 层 的 绝缘线 束 这种 类型 的 绝缘线 束 30 适于 在 防护 结构 和 由 复合 碳 材料 或者 座舱 衬里 之间 的 可用 空间 中 连接结构 金属件 在 一个 实施 例中 其 包括 并排 布置 的 导体 51 所述 导体 形成 平面 挠性 层 50 多点 式 模块 终端 连接器 32 和 多点 式 模块 中间 连接器 34 防护 套 所述 防护 套 由 覆盖 部分 60T 中 的 层 的 外部 护套 60 和 覆盖 连接器 的 边缘 32b 34b 60b 和 部分 62T 中 的 外部 部分 60 构成 开口 54 56 形成 在 用于 固定装置 的 连接器 32 34 上 导体 51 单独 固定 在 连接器 32 34 中 并且 在 连接器 32 34 处 的 可 热缩 套筒 46 中 覆盖 有防 漏电 产品
1822,B60C7/10,本 实用新型 涉及 一种 免 充气 防爆 轮胎 主要 用于 如 汽车 摩托车 自行车 及 飞机 等 各种 轮式 运输工具 其 主要 特征 是 外胎 采用 无 内胎 轮胎 采用 轮毂 对 轮胎 内腔 经 一次性 闭孔 发泡 完成 的 闭孔 弹性 发泡 材料 进行 压缩 来 替代 传统 的 高压 空气 的 办法 来 防止 轮胎 被 扎 伤 或 因 轮胎 过热 而 引发 的 爆胎 事故 并且 在 轮胎 的 使用寿命 内 免于 充气 大大提高 了 轮胎 在 使用 中 的 可靠性 和 便利性 可 有效 减少 重大 交通 安全事故 的 发生
1666,B60T13/74,一种 蜗轮 蜗杆 式 飞机 电 刹车 系统 涉及 刹车 系统 及 工作 方法 领域 它 主要 包括 机电 作动 机构 轮轴 支撑 盖 压力 传感器 刹车盘 机轮 和 转速 传感器 的 整套 全电 刹车 系统 其中 机电 作动 机构 包括 由 作动器 外壳 电机 联轴器 相互 啮合 传动 的 蜗杆 与 蜗轮 滚珠 丝杠 滚珠 螺母 外筒 转速 传感器 通过 转速 传感器 安装 轴 与 机 轮轴 相连接 本 实用新型 采用 了 全电作动 及 蜗轮 蜗杆传动 方式 降低 了 机构 复杂度 减轻 机构 重量 并 为 双余度 设计 思路 提供 了 可能性 且 考虑 了 压力 传感器 和 转速 传感器 的 安装 问题 实现 压力 转速 闭环 双 反馈 控制系统 提高 刹车 系统 的 效率 与 可靠性
2354,F16H37/00,本发明 涉及 机器 传动 技术 特别 是 仿生 机器 传动 系统 主要 特征 是 发动机 连接 变速器 和 主 传动轴 主 传动轴 与 二根 副 传动轴 配合 副 传动轴 上 有 离合器 和 U 形臂 通过 连杆 与 仿生 翼 或鳍式 桨 配合 或者 由电 动机 通过 连杆 与 仿生 翼 或鳍式 桨 配合 从而 产生 鸟 鱼 那样 的 仿生 运动 适用 于 仿生 飞机 仿生 船 等
1144,F16D43/208,本发明 属于 航空 机械设计 领域 具体 涉及 一种 双 操纵 飞机 操纵 系统 解脱 机构 包括 主动 件 和 从动件 主动 件 包括 一个 凸轮 凸轮 外廓 为 圆形 外廓 上开 有 圆形槽 从动件 包括 滚轮 推杆 连杆 弹簧 摇臂 壳体 及 拨杆 本发明 驱动 件 与 从动件 之间 能 传递 精确 的 转动 运动 正 反向运动 间隙 可以 保证 在 正反 向 换向 的 时候 不会 出现 明显 换向 间隙 解脱 机构 内设 弹簧 机构 可以 保证 解脱 后 主动 件 与 从动件 彻底 解脱 保证 主动 件 与 从动件 解脱 后 互不 影响 本发明 结构 简单 利用 可靠 的 平面 连杆机构 实现 可靠性 高 对 材料 的 要求 低 零件 之间 互相 磨损 小 受 温度 湿度 影响 小 环境 适应性 强 解决 后 通过 简单 操作 便 可 实现 再次 联动 非 破坏性 解脱 无需 拆卸 或 大修 使用寿命 长
213,B64F5/00,本 实用新型 涉及 一种 安装 车 尤其 是 一种 飞机 发动机 的 安装 车 涉及 一种 随意 灵活 的 固定 连接结构 它 可以 自行 调节 适应 发动机 地面 安装 时 的 安装 姿态 包括 安装 小车 导轨 调节 机构 前 连接 耳片 后 连接 耳片 小车 后梁 在 小车 后 梁上 开有 槽 槽内 装有 滑块 在 槽 的 两端 各 装有 一 限位 夹紧 机构 后 连接 耳片 固定 在 滑块 上 通过 后 连接 耳片 的 自主 随意 调节 自 适应 发动机 的 连接 姿态 要求 不 需要 安装 小车 的 微调 配合 便 可 保证 后 连接 耳片 与 发动机 的 连接 本 实用新型 简化 了 安装 小车 微调 机构 的 结构设计 方便 地勤人员 拆装 发动机 时 的 对 中 调节 操作 大大提高 了 飞机 发动机 的 维护 效率
1406,B64C25/58,一种 用于 与 交通工具 连接 的 减震 组件 50 该 减震 组件 包括 机轮 组件 60 该机 轮 组件 包括 第一 连接点 和 第二 连接点 第一 减震 元件 该 第一 减震 元件 包括 设有 第一 孔 54 的 第一 壳体 部 64 以及 第一 杆 58 该 第一 杆 可 滑动 地 连接 于 第一 孔 54 中 从而 第一 减震 元件 的 长度 可以 变化 该 第一 杆 58 与 该机 轮 组件 60 的 第一 连接点 连接 以及 第二 减震 元件 该 第二 减震 元件 包括 设有 第二 孔 56 的 第二 壳体 部 66 以及 第二杆 62 该 第二杆 可 滑动 地 连接 于 第二 孔 56 中 从而 第二 减震 元件 的 长度 可以 变化 该 第二杆 62 与 该机 轮 组件 60 的 第二 连接点 连接 其中 该 减震 组件 50 用于 保持 第一 壳体 部 64 和 第二 壳体 部 66 的 相对 位置 从而 该 第一 孔 54 的 纵轴 相对 于 第二 孔 56 的 纵轴 具有 大体 不变 的 空间 关系
299,F16F7/12,目前 传统 的 用于 将 飞机 的 舱内 设备 附连到 主 结构 的 坚固 的 保持架 不能 有效 的 控制 动 载荷 根据 本发明 的 实施 例 提供 了 一种 用于 飞机 的 能量 吸收器 其 包括 一个 或 多个 能量 吸收 元件 和 一个 壳体 其中 能量 吸收 元件 可以 通过 发生 在 壳体 内 的 塑性变形 吸收 碰撞 冲击 因此 限制 了 作用 在 主 结构 上 的 载荷 这样 就 增加 了 乘客 的 被动 安全性 并且 减轻 了 重量
1728,B60N2/44,本发明 涉及 一种 装配 在 长途汽车 或 飞机 靠背椅 未示 出 靠 背部 的 后部 的 折叠 桌子 10 折叠 桌子 10 具有 可绕 枢轴 转动 向上 的 握持 器 用于 保持 一个 例如 饮料罐 杯子 或 大 酒杯 的 饮料 容器 为了 能够 使用 握持 器 20 甚至 当 折叠 桌子 10 已经 绕 枢轴 向上 转动 而平 靠 在 靠背椅 靠 背部 上时 使用 握持 器 20 本发明 建议 以 这样 的 方式 建造 所述 握持 器 20 使得 其 能够 从 折叠 桌子 10 绕 枢轴 向下 转动
2247,G08G1/01,一种 利用 专用 网络 的 交通 信息 服务 设备 及其 控制 方法 该 设备 提供 交通 载体 和 路边 装置 之间 的 专用 网络 并 利用 该 专用 网络 收集 提供 交通 信息 所述 为 用户 提供 交通 信息 的 方法 包括 以下 步骤 a 使 交通 载体 能 广播 其 登记 消息 以 创建 专用 网络 并 基于 该 登记 消息 创建 交通 载体 之间 的 专用 网络 b 使 路边 装备 RSE 能 接收 从 交通 载体 广播 的 登记 消息 并 从 该 登记 消息 中 收集 该 交通 信息 和 c 使该 RSE 能 将 该 交通 信息 发送到 交通 信息 服务中心
1243,G08B25/00,本发明 披露 了 一种 独立 和 自动 的 报警装置 系统 和 方法 其 在 对象 例如 人 或 交通工具 发生 事故 时向 远程 位置 提供 警报 发送 检测 装置 检测 事故 的 至少 一个 特征 例如 速度 角度 矢量 侧 倾 横摇 平摇 偏航 起伏 升沉 纵摇 纵倾 加速度 减 速度 减速 率 加速度 变化率 位置 浸没 一种 或 多种 化学 物 的 存在 放射性物质 或 辐射 温度 力 或 任何 影响 对象 的 总体 区域 确定 装置 识别 所 检测 到 的 事故 是否 需要 发送 警报 发送 装置 根据 事故 的 至少 一个 特征 向 远程 位置 发送 警报
223,G08G5/04,本发明 公开 了 一种 近地 告警 系统 中 前视 预测 告警 系统 实现 和 方法 设计 其 特征 在于 该 前视 预测 告警 系统 包括 一前视 预测 告警 处理器 该 前视 预测 告警 处理器 的 输入 端 与 大气 数据 计算机 导航系统 无线电 设备 地形 存储器 连接 接收 飞机 速度 和 航迹 角 信息 基于 内置 的 告警 域 计算方法 计算 出 基于 飞机 当前 位置 的 告警 域 然后 结合 飞机 位置 信息 计算 出 基于 地理 坐标系 的 告警 域 在 地形 数据库 中 查询 如 有 地形 侵入 告警 域 则 产生 告警 并 输出 告警信息 本发明 的 优点 在于 能够 最大 限度 的 减少 虚警 和 漏警 提高 告警 性能 保障 飞行 安全
47,B64D39/06,本发明 公开 了 机翼 空中加油 系统 其中 一种 飞机 包括 机翼 组件 吊舱 以及 将 吊舱 附接 于 机翼 组件 的 吊架 吊架 具有 后 掠 吊架 襟翼 该 后 掠 吊架 襟翼 被 配置 为 在 飞机 的 飞行 期间 降低 吊架 和 吊舱 的 负荷 并且 也 被 配置 为 产生 对抗 拖拽 吊舱 的 涡流 的 向下 气流
1414,F16B1/00,本 实用新型 涉及 一种 安装 激光 跟踪 仪 靶标 球 的 转接 套 转接 套为 双 台阶 圆柱体 转接 套 一端 的 小 台阶 的 外径 D 与其 在 零件 上 安装 定位 孔 的 孔径 D 相匹配 转接 套内 孔 的 直径 d 与 所述 靶标 球 的 插接 杆 的 外径 d 相匹配 所述 靶标 球 在 零件 上 安装 定位 孔 的 孔径 D ＞ 12mm 时 D ＞ d 所述 靶标 球 在 零件 上 安装 定位 孔 的 孔径 D ＜ 12mm 时 D ＜ d 采用 本 实用新型 解决 了 激光 跟踪 仪 靶标 球 在 工装 架型 上 的 定位 安装 问题 提高 了 飞机 产品 工装 架型 制造 装配 效率 缩短 工装 的 制造 安装 交付 周期 节约 制造 成本
1706,F16B1/02,"本 实用新型 公开 了 一种 无明 钉 及 压条 的 内 装板 安装 结构 内装板 固定 于 骨架 上 在内 装板 和 骨架 之间 设置 有 搭扣 装置 所述 内装板 包括 相互配合 的 一号 板 和 二号 板 所述 一号 板 的 右端 往 上 弯曲 形成 "" Z "" 字形 所述 二号 板 的 左端 与 一号 板 的 右端 对应 且 二号 板 的 左端 往 上 弯曲 形成 "" L "" 形 该 L 形往 上 弯折 的 竖 段 与 “ Z ” 字形 竖向 的 中段 相 接触 “ Z ” 字形 往 上 弯折 后 形成 的 横向 上段 与 L 形 的 横段 相 平行 在 平行 的 两者之间 固定 有 搭配 装置 本 实用新型 所述 的 内 装板 可 用于 车辆 船舶 和 飞机 及其 他 需要 内部 装饰 的 装置 利用 搭扣 的 咬合 作用力 固定 构成 了 一个 无需 螺钉 的 稳定 的 结构 此内 装板 同时 还 具备 结构 简单 组装 方便 性能 可靠 维护性 好 的 优点"
1453,G08G5/04,本发明 公开 了 一种 直升机 地形 感知 与 告警 系统 告警 包线 生成 方法 包括 S1 建立 飞机 无 告警 情况 下 的 正常 轨迹 模型 并 结合 飞行员 规避 操作 建立 飞机 告警 后 规避 轨迹 模型 将 两个 轨迹 模型 分别 与 一阶 Markov 随机 地形 数据 作 比较 判断 此次 飞行 方针 是否 告警 成功 S2 进行 大量 飞行 仿真 统计 作为 告警 系统 性能指标 的 虚 警率 和 告警 成功率 生成 SOC 曲线 权衡 两个 指标 对系统 的 影响 选取 最佳 告警 阈值 点 S3 生成 整个 告警 阈值 包线 本发明 目的 在于 综合 考虑 虚警 和 漏警 对 告警 系统 的 影响 提供 一种 基于 系统 性能 SystemOperatingCharacteristic SOC 曲线 的 HTAWS 模式 1 和 模式 2 告警 包线 生成 方法 其 最终 生成 的 告警 阈值 包线 更加 合理 可 有效 减小 虚警 和 漏警 情况 的 发生
